주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
11,만석공원,공영,노외,경기도 수원시 장안구 송정로 9,경기도 수원시 장안구 송죽동 417-23,103,기타,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,180,1000,180,1000,24,5000,30000,신용카드,,수원도시공사,031-243-8366,37.297575,126.999111,2020-12-11
12,매봉공영,공영,노외,경기도 수원시 영통구 동탄원천로1109번길 61,경기도 수원시 영통구 매탄동 1210,200,기타,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,400,10,200,24,4000,40000,신용카드,,수원도시공사,031-548-1122,37.259121,127.018825,2020-12-11
13,매탄공원,공영,노외,경기도 수원시 영통구 매탄로 185,경기도 수원시 영통구 매탄동 811,223,기타,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,180,1000,180,1000,24,5000,40000,신용카드,,수원도시공사,031-211-4108,37.269617,127.055058,2020-12-11
14,백설공영,공영,노외,경기도 수원시 장안구 정자천로133번길 26,경기도 수원시 장안구 정자동 879-1,57,2,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,24,7000,60000,신용카드,,수원도시공사,031-268-0687,37.276189,127.020006,2020-12-11
15,선경도서관,공영,부설,경기도 수원시 팔달구 신풍로23번길 68(신풍동),경기도 수원시 팔달구 신풍동 123-69,73,2,미시행,평일+토요일,12:00,20:00,12:00,20:00,0:00,0:00,유료,30,600,10,300,24,7000,60000,신용카드,월요일+화요일+공휴일 휴무,수원도시공사,031-244-2838,37.287067,127.032097,2020-12-11
16,성대환승,공영,노외,경기도 수원시 장안구 덕영대로 417번길1,경기도 수원시 장안구 율전동192-13,166,기타,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,300,10,200,24,3500,30000,신용카드,,수원도시공사,031-271-4731,37.267133,127.045478,2020-12-11
17,수원역환승,공영,노외,경기도 수원시 권선구 세화로 136(서둔동),경기도 수원시 권선구 서둔동 296-80,129,기타,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,500,10,200,24,4800,,신용카드,,수원도시공사,031-278-3954,37.285897,126.990344,2020-12-11
18,세류역환승,공영,노외,경기도 수원시 권선구 정조로 379,경기도 수원시 권선구 장지동 44-10,136,기타,미시행,평일,7:00,23:00,0:00,0:00,0:00,0:00,유료,30,300,10,200,24,3500,30000,신용카드,,수원도시공사,031-267-3722,37.259597,127.046506,2020-12-11
19,시청2부설,공영,부설,경기도 수원시 팔달구 효원로 241(인계동),경기도 수원시 팔달구 인계동1111,400,1,미시행,평일,7:00,22:00,0:00,0:00,0:00,0:00,유료,30,900,10,400,24,9500,72000,신용카드,버스 선불 4000원,수원도시공사,031-267-4286,37.280933,127.019451,2020-12-11
20,시청별관,공영,부설,경기도 수원시 팔달구 인계동1111,경기도 수원시 팔달구 인계동1111,364,1,미시행,평일,7:00,22:00,0:00,0:00,0:00,0:00,유료,30,900,10,400,24,9500,,신용카드,,수원도시공사,031-267-3967,37.289886,127.015811,2020-12-11
21,시청정문,공영,부설,경기도 수원시 팔달구 인계동1111,경기도 수원시 팔달구 인계동1111,90,1,미시행,평일,7:00,22:00,0:00,0:00,0:00,0:00,유료,30,900,10,400,24,9500,,신용카드,,수원도시공사,031-267-4014,37.254897,127.030422,2020-12-11
22,신대호수,공영,노외,경기도 수원시 영통구 광교호수로 214,경기도 수원시 영통구 하동1008,291,기타,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,180,1000,180,1000,24,5000,40000,신용카드,"월요일 휴무, 동절기(12~2월) 10:00~18:00 운영",수원도시공사,,37.263453,127.028661,2020-12-11
23,영통공영,공영,노외,경기도 수원시 영통구 봉영로 1598,경기도 수원시 영통구 영통동995-3,313,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,900,10,400,24,9500,72000,신용카드,,수원도시공사,031-202-2150,37.285355,126.987154,2020-12-11
24,영통구청,공영,부설,경기도 수원시 영통구 효원로 407(매탄동),경기도 수원시 권선구 매탄동 1268,273,2,미시행,평일+토요일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,24,7000,60000,신용카드,,수원도시공사,031-216-3418,37.270944,127.016333,2020-12-11
25,영통도서관,공영,부설,경기도 수원시 영통구 청명로 151번길,경기도 수원시 영통구 영통동 961-1,80,3,미시행,평일+토요일,12:00,20:00,12:00,20:00,0:00,0:00,유료,30,400,10,100,24,3500,35000,신용카드,월요일+공휴일 휴무,수원도시공사,031-202-7368,37.290681,127.028255,2020-12-11
26,영화동,공영,노외,경기도 수원시 장안구 수성로 382번길 24 영화주민센터 옆,경기도 수원시 장안구 영화동250-1,207,기타,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,400,10,200,24,4000,40000,신용카드,,수원도시공사,031-207-8353,37.276892,127.066272,2020-12-11
27,우만공원공영,공영,노외,경기도 수원시 팔달구 세지로 436,경기도 수원시 팔달구 우만동 500,119,기타,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,400,10,200,24,4000,40000,신용카드,,수원도시공사,031-241-1134,37.281465,127.069142,2020-12-11
28,원천호수,공영,노외,경기도 수원시 영통구 광교호수로 75,경기도 수원시 영통구 하동 1024,389,기타,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,180,1000,180,1000,24,5000,40000,신용카드,,수원도시공사,031-548-0084,37.284771,127.077129,2020-12-11
29,율전공영,공영,노외,경기도 수원시 장안구 서부로2106번길 27 ,경기도 수원시 장안구 율전동 433-2,72,2,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,24,7000,60000,신용카드,,수원도시공사,031-278-1507,37.292825,127.014086,2020-12-11
30,인계공영,공영,노외,경기도 수원시 팔달구 장다리로 306번길 24 ,경기도 수원시 팔달구 인계동 944-1,64,2,미시행,평일,7:00,22:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,24,7000,60000,신용카드,일요일 07:00~17:00 운영,수원도시공사,031-222-2384,37.2941425,127.0519012,2020-12-11
31,인계동주택,공영,노외,경기도 수원시 팔달구 세지로 233,경기도 수원시 팔달구 인계동821-4,76,기타,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,400,10,200,24,4000,40000,신용카드,,수원도시공사,,37.2849518,127.0562904,2020-12-11
32,창룡공영,공영,노외,경기도 수원시 팔달구 월드컵로 381번길 2,경기도 수원시 팔달구 우만동582,85,2,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,24,7000,60000,신용카드,,수원도시공사,031-207-7498,37.3008682,127.0306794,2020-12-11
33,카페거리1공영,공영,노외,경기도 수원시 영통구 이의동 1307-3,경기도 수원시 영통구 이의동 1307-3,66,2,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,24,7000,60000,신용카드,,수원도시공사,031-211-6396,37.2736002,127.0571367,2020-12-11
34,터미널공영,공영,노외,경기도 수원시 권선구 경수대로 270,경기도 수원시 권선구 권선동 1189,51,2,미시행,평일+토요일+공휴일,14:00,22:00,14:00,22:00,14:00,22:00,유료,30,600,10,300,24,7000,60000,신용카드,월요일 휴무,수원도시공사,031-231-9710,37.2451755,127.0583634,2020-12-11
35,행복한들,공영,노외,경기도 수원시 영통구 광교호수로 171,경기도 수원시 영통구 하동1000,256,기타,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,180,1000,180,1000,24,5000,40000,신용카드,,수원도시공사,031-213-9345,37.2679434,126.9972677,2020-12-11
36,화서환승,공영,노외,경기도 수원시 팔달구 덕영대로 691-13,경기도 수원시 팔달구 화서동 643,290,기타,미시행,평일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,500,10,200,24,4800,36000,신용카드,,수원도시공사,031-258-2013,37.3011121,126.9716322,2020-12-11
37,"화성박물관,팔달구청",공영,부설,경기도 수원시 팔달구 창룡대로 23,경기도 수원시 팔달구 매향동 49,211,2,미시행,평일,10:00,20:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,24,7000,60000,신용카드,"중형버스 3시간 2000원, 대형버스 3시간 4000원",수원도시공사,031-207-6470,37.2849518,127.0562904,2020-12-11
38,화홍문공영,공영,노외,경기도 장안구 팔달로 280(영화동 153-13),경기도 장안구 영화동 153-13,457,3,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,400,10,100,24,3500,35000,신용카드,,수원도시공사,031-242-8366,37.295569,126.992339,2020-12-11
39,권선구청 부설,공영,부설,경기도 수원시 권선구 탑동 900/권선구 호매실로 12,경기도 수원시 권선구 탑동 900/권선구 호매실로 12,258,2,미시행,평일,10:00,20:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,24,7000,60000,신용카드,,수원도시공사,031-548-1612,37.289886,127.015811,2020-12-11
40,곡반2공영,공영,노외,경기도 수원시 곡반정동 553,경기도 수원시 권선구 곡선로49번길 14-5,206,2,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,24,7000,60000,신용카드,,수원도시공사,031-221-5714,37.287067,127.032097,2020-12-11
41,망포공영,공영,노외,경기도 수원시 영통구 영통동 980-2번지외 1필지,경기도 수원시 영통구 영통로 200번길 1,179,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,900,10,400,24,9500,72000,신용카드,,수원도시공사,031-242-8366,37.297575,126.999111,2020-12-11
42,장안동공영,공영,노외,,경기도 수원시 팔달구 장안동 51,138,기타,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,400,10,200,24,4000,40000,신용카드,,수원도시공사,031-207-6418,37.3008682,127.0306794,2020-12-11
43,연무동공영,공영,노외,경기도 수원시 장안구 경수대로743번길 57,경기도 수원시 장안구 연무동 160-13번지,164,2,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,400,10,200,24,4000,40000,신용카드,,수원도시공사,031-248-5930,37.295569,126.992339,2020-12-11
44,만석공원1~4,공영,노외,,경기도 수원시 장안구 송죽동 434-2,230,2,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,1000,180,1000,24,5000,40000,신용카드,,수원도시공사,031-207-6601,37.297575,126.999111,2020-12-11
45,성대환승(건물),공영,노외,경기 수원시 장안구 서부로 2149,,191,2,미시행,평일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,500,10,200,24,4800,36000,신용카드,,수원도시공사,031-271-4731,37.3011121,126.9716322,2020-12-11
46,신동1공영주차장,공영,노외,,경기도 수원시 영통구 신동 931-5,60,2,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,400,10,200,24,4000,50000,신용카드,,수원도시공사,-,37.248179,127.044681,2020-12-11
47,수원화물자동차공영차고지,공영,노외,,경기도 수원시 권선구 고색동 551,205,3,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,30,400,10,100,24,3500,"35,000",신용카드,"2.5~4.5톤:최초30분 700원, 초과10분당 200원, 일일요금 7000원, 월정기권 70000원, 4.5톤이상:최초30분 1100원, 초과10분당 300원, 일일요금 10500원, 월정기권 105000원",수원도시공사,031-278-9206,37.237602,126.98806,2020-12-11
