번호,설치장소명,설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치연월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
13,다목적교육관,교육실,경기도,가평군,관공서,"SKT, KT, LGU+",,2019-01,경기도 가평군 가평읍 아랫마장길 59,경기도 가평군 가평읍 승안리 100번지,가평군청,031-580-4605,37.846099,127.499632,2020-07-27
14,청평보건지소,민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2019-01,경기도 가평군 청평면 은고개로 21,경기도 가평군 청평면 청평리 333-1번지,가평군청,031-580-4605,37.740178,127.424567,2020-07-27
15,상면보건지소,민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2019-01,경기도 가평군 상면 청군로 1099,경기도 가평군 상면 연하리 171-1번지,가평군청,031-580-4605,37.805069,127.357704,2020-07-27
16,하면보건지소,민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2019-01,경기도 가평군 조종면 조종내길 75,경기도 가평군 조종면 현리 567-7번지,가평군청,031-580-4605,37.817878,127.353264,2020-07-27
17,북면보건지소,민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2019-01,경기도 가평군 북면 목동복지로 9-1,경기도 가평군 북면 목동리 847-4번지,가평군청,031-580-4605,37.885293,127.549825,2020-07-27
18,청소년문화의집,각 층,경기도,가평군,교육시설,"SKT, KT, LGU+",,2019-10,경기도 가평군 가평읍 문화로 120,경기도 가평군 가평읍 대곡리 352번지,가평군청,031-580-4605,37.823799,127.509435,2020-07-27
19,칼봉산휴양림,휴양림 각 객실,경기도,가평군,기타,"SKT, KT, LGU+",,2019-10,경기도 가평군 가평읍 경반안로 454,경기도 가평군 가평읍 경반리 산136번지,가평군시설관리공단,031-8078-8062,37.835873,127.465524,2020-07-27
20,설악도서관,열람실,경기도,가평군,관공서,"SKT, KT, LGU+",,2019-01,경기도 가평군 설악면 자잠로 65,경기도 가평군 설악면 신천리 516-7번지,가평군청,031-580-4605,37.683264,127.490848,2020-07-27
21,농업기술센터,민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2019-01,경기도 가평군 가평읍 아랫마장길 59,경기도 가평군 가평읍 승안리 100번지,가평군청,031-580-4605,37.845998,127.498703,2020-07-27
22,건강증진센터,민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2019-01,경기도 가평군 가평읍 가화로 155-15,경기도 가평군 가평읍 읍내리 624-20번지,가평군청,031-580-4605,37.832978,127.510785,2020-07-27
23,설악보건지소,민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2019-01,경기도 가평군 설악면 한서로 6,경기도 가평군 설악면 신천리 156-1번지,가평군청,031-580-4605,37.675939,127.494657,2020-07-27
24,경안동 우체국,경안동 우체국,경기도,광주시,관공서,SKT,Public WiFi FREE,2018-12,경기도 광주시 중앙로 123,경기도 광주시 경안동 53-7,경기도 광주시청,02-1899-4876,37.41054426,127.2576316,2020-03-19
25,경안천 생태습지공원,경안천 생태습지공원,경기도,광주시,기타,SKT,Public WiFi FREE,2018-12,경기도 광주시 퇴촌면 산수로 1178,경기도 광주시 퇴촌면 정지리 477-1,경기도 광주시청,02-1899-4876,37.46076209,127.3052569,2020-03-19
26,곤지암 버스터미널앞 버스정류장,곤지암 버스터미널앞 버스정류장,경기도,광주시,교통시설,SKT,Public WiFi FREE,2018-12,경기도 광주시 곤지암읍 곤지암로 44,경기도 광주시 곤지암읍 곤지암리 435-19,경기도 광주시청,02-1899-4876,37.34997922,127.3418541,2020-03-19
27,광주 농협 쌍령리점,광주 농협 쌍령리점,경기도,광주시,기타,SKT,Public WiFi FREE,2018-12,경기도 광주시 경충대로 1428-15,경기도 광주시 쌍령동 413-30,경기도 광주시청,02-1899-4876,37.39826227,127.2750556,2020-03-19
28,광주 전통시장,광주 전통시장,경기도,광주시,지역문화시설,SKT,Public WiFi FREE,2018-12,경기도 광주시 경안로25번길 8,경기도 광주시 경안동 33-47,경기도 광주시청,02-1899-4876,37.40923622,127.2574017,2020-03-19
29,광주농업기술센터,광주농업기술센터,경기도,광주시,관공서,SKT,Public WiFi FREE,2018-12,경기도 광주시 이배재로 209-5,경기도 광주시 목현동 42-1,경기도 광주시청,02-1899-4876,37.43194988,127.2343471,2020-03-19
30,구청사 앞버스정류장,구청사 앞버스정류장,경기도,광주시,교통시설,SKT,Public WiFi FREE,2018-12,경기도 광주시 중앙로 197,경기도 광주시 송정동 120-8,경기도 광주시청,02-1899-4876,37.41748364,127.2564967,2020-03-19
31,남종면 공설운동장,남종면 공설운동장,경기도,광주시,관공서,SKT,Public WiFi FREE,2018-12,경기도 광주시 남종면 산수로 1642,경기도 광주시 남종면 분원리 98-1,경기도 광주시청,02-1899-4876,37.49608791,127.3013496,2020-03-19
32,밀목빌라단지앞버스정류장,밀목빌라단지앞버스정류장,경기도,광주시,교통시설,SKT,Public WiFi FREE,2018-12,경기도 광주시 중앙로 351,경기도 광주시 송정동 426-29,경기도 광주시청,02-1899-4876,37.4305174,127.259898,2020-03-19
33,삼동우남퍼스트빌앞 버스정류장,삼동우남퍼스트빌앞 버스정류장,경기도,광주시,교통시설,SKT,Public WiFi FREE,2018-12,경기도 광주시 고불로 464,경기도 광주시 삼동 255-1,경기도 광주시청,02-1899-4876,37.41051639,127.1994016,2020-03-19
34,상현약국앞 버스정류장,상현약국앞 버스정류장,경기도,광주시,교통시설,SKT,Public WiFi FREE,2018-12,경기도 광주시 중앙로 88,경기도 광주시 역동 23-2,경기도 광주시청,02-1899-4876,37.40780359,127.2594886,2020-03-19
35,오포실내 배드민턴 체육관,오포실내 배드민턴 체육관,경기도,광주시,지역문화시설,SKT,Public WiFi FREE,2018-12,경기도 광주시 오포읍 새말길 328,경기도 광주시 오포읍 신현리 503-5,경기도 광주시청,02-1899-4876,37.38089081,127.1760352,2020-03-19
36,중대물빛 공원주차장,중대물빛 공원주차장,경기도,광주시,교통시설,SKT,Public WiFi FREE,2018-12,경기도 광주시 순암로 307,경기도 광주시 중대동 229,경기도 광주시청,02-1899-4876,37.40272072,127.2180854,2020-03-19
37,청석공원,청석공원 내,경기도,광주시,기타,SKT,Public WiFi FREE,2018-12,,경기도 광주시 쌍령동 480-1,경기도 광주시청,02-1899-4876,37.4091932,127.2622762,2020-03-19
38,파리바케트앞,파리바케트앞,경기도,광주시,기타,SKT,Public WiFi FREE,2018-12,경기도 광주시 중앙로 320-1,경기도 광주시 송정동 392-4,경기도 광주시청,02-1899-4876,37.42798429,127.2582846,2020-03-19
39,광주시외버스터미널,광주시외버스터미널,경기도,광주시,교통시설,SKT,Public WiFi FREE,2018-12,경기도 광주시 광주대로 30,경기도 광주시 경안동 25-3,경기도 광주시청,02-1899-4876,37.40963859,127.2612214,2020-03-19
40,경안근린공원,경안근린공원,경기도,광주시,기타,SKT,Public WiFi FREE,2018-12,경기도 광주시 경안로98번길 30,경기도 광주시 경안동 168-1,경기도 광주시청,02-1899-4876,37.40935993,127.2512836,2020-03-19
41,경기도립광주도서관,경기도립광주도서관,경기도,광주시,관공서,SKT,Public WiFi FREE,2018-12,경기도 광주시 경안안길58번길 3,경기도 광주시 경안동 47-1,경기도립도서관,031-768-6921,37.4108381,127.2552863,2020-03-19
42,갈마터미널앞 버스정류장,갈마터미널앞 버스정류장,경기도,광주시,교통시설,SKT,Public WiFi FREE,2018-12,경기도 광주시 경충대로 2197,경기도 광주시 삼동 266-18,경기도 광주시청,02-1899-4876,37.41184011,127.2006056,2020-03-19
43,얼굴박물관,얼굴박물관,경기도,광주시,지역문화시설,LGU,Public WiFi FREE,2018-12,경기도 광주시 남종면 분원길 3-6,경기도 광주시 남종면 분원리 68,경기도 광주시청,02-1899-4876,37.49395689,127.3020551,2020-03-19
44,경기신용보증재단 광주,경기신용보증재단 광주,경기도,광주시,기타,LGU,Public WiFi FREE,2018-12,경기도 광주시 파발로 212,경기도 광주시 탄벌동 18-4,경기도 광주시청,02-1899-4876,37.4175642,127.2491346,2020-03-19
45,광주시민체육관,"광주시민체육관 B1, 1F, 2F",경기도,광주시,관공서,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2018-10,경기도 광주시 오포읍 청석로 85,경기도 광주시 오포읍 양벌리 33-2,경기도 광주시청,031-760-2742,37.39562861,127.2586368,2020-03-19
46,오포건강생활지원센터,"오포건강생활지원센터 1F, 2F, 3F",경기도,광주시,관공서,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2018-10,경기도 광주시 오포읍 오포로 884-1,경기도 광주시 오포읍 고산리 234-8,경기도 광주시청,031-760-2742,37.36912152,127.2322075,2020-03-19
47,광주시여성문화센터,광주시 여성문화센터 3F,경기도,광주시,기타,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2018-10,경기도 광주시 중앙로 197,경기도 광주시 송정동 120-8,경기도 광주시청,031-760-2742,37.41748364,127.2564967,2020-03-19
48,퇴촌남종통합보건지소,퇴촌남종통합보건지소 1F,경기도,광주시,관공서,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2018-10,경기도 광주시 퇴촌면 산수로 1347,경기도 광주시 퇴촌면 오리 73-1,경기도 광주시청,031-760-2742,37.47476817,127.3058285,2020-03-19
49,초월보건지소,"초월보건지소 2F, 3F",경기도,광주시,관공서,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2018-10,경기도 광주시 초월읍 경충대로 1009-40,경기도 광주시 초월읍 쌍동리 163-7,경기도 광주시청,031-760-2742,37.36884573,127.3027505,2020-03-19
50,분원레포츠 공원,공원관리소 주변,경기도,광주시,지역문화시설,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2019-04,경기도 광주시 남종면 산수로 1633-15,,경기도 광주시청,031-760-2742,37.49570167,127.2994943,2020-03-19
51,곤지암 생활 체육공원,공원관리소 주변,경기도,광주시,지역문화시설,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2019-04,경기도 광주시 곤지암읍 평촌길 12-125,,경기도 광주시청,031-760-2742,37.35957128,127.3241492,2020-03-19
52,초월 생활체육공원,공원관리소 주변,경기도,광주시,지역문화시설,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2019-04,,경기도 광주시 초월읍 늑현리 193-2,경기도 광주시청,031-760-2742,37.36552895,127.316472,2020-03-19
53,광남 생활체육공원,공원관리소 주변,경기도,광주시,지역문화시설,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2019-04,,경기도 광주시 태전동 601-2,경기도 광주시청,031-760-2742,37.38895122,127.2371576,2020-03-19
54,팔당 물안개공원,공원관리소 주변,경기도,광주시,지역문화시설,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2019-04,,경기도 광주시 남종면 귀여리 596,경기도 광주시청,031-760-2742,37.51045584,127.3142486,2020-03-19
55,오포 공설운동장,운동장 관리소 주변,경기도,광주시,지역문화시설,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2019-04,,경기도 광주시 오포읍 매산리 815-5,경기도 광주시청,031-760-2742,37.37126514,127.2443837,2020-03-19
56,퇴촌면공설운동장,운동장 관리소 주변,경기도,광주시,지역문화시설,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2019-04,,경기도 광주시 퇴촌면 광동리 530,경기도 광주시청,031-760-2742,37.47269684,127.3015643,2020-03-19
57,광주시 육아종합지원센터,육아종합지원센터 1F,경기도,광주시,기타,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2019-04,경기도 광주시 남한산성면 회안대로 1404-1,경기도 광주시 남한산성면 광지원리 186-1,경기도 광주시청,031-760-2742,37.46403974,127.2484556,2020-03-19
58,송정동 주민쉼터,송정동 주민쉼터 1F,경기도,광주시,기타,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2019-04,경기도 광주시 중앙로 197,,경기도 광주시청,031-760-2742,37.41748364,127.2564967,2020-03-19
59,관음 보건진료소,관음 보건진료소 1F,경기도,광주시,관공서,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2019-04,경기도 광주시 퇴촌면 천진암로 653-8,경기도 광주시 퇴촌면 관음리 308-6,경기도 광주시청,031-760-2742,37.45529031,127.3362891,2020-03-19
60,분원리 보건진료소,분원리 보건진료소 1F,경기도,광주시,관공서,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2019-04,경기도 광주시 남종면 산수로 1613-9,,경기도 광주시청,031-760-2742,37.49383568,127.3028931,2020-03-19
61,열미리 보건진료소,열미리 보건진료소 1F,경기도,광주시,관공서,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2019-04,경기도 광주시 곤지암읍 광여로 214,,경기도 광주시청,031-760-2742,37.35266937,127.3666639,2020-03-19
62,태전 보건진료소,태전 보건진료소 1F,경기도,광주시,관공서,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2019-04,경기도 광주시 고불로 79,경기도 광주시 태전동 272-23,경기도 광주시청,031-760-2742,37.39255852,127.229394,2020-03-19
63,선동 보건진료소,선동 보건진료소 1F,경기도,광주시,관공서,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2019-04,경기도 광주시 초월읍 동막골길 7-16,경기도 광주시 초월읍 선동리 274-46,경기도 광주시청,031-760-2742,37.37754309,127.3185571,2020-03-19
64,능평 보건진료소,능평 보건진료소 1F,경기도,광주시,관공서,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2019-04,경기도 광주시 오포읍 창뜰아랫길 6,경기도 광주시 오포읍 능평리 318-6,경기도 광주시청,031-760-2742,37.35028346,127.1668636,2020-03-19
65,산성 보건진료소,산성 보건진료소 1F,경기도,광주시,관공서,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2019-04,경기도 광주시 남한산성면 남한산성로 732-20,경기도 광주시 남한산성면 산성리 291,경기도 광주시청,031-760-2742,37.4772911,127.1895536,2020-03-19
66,만선 보건진료소,만선 보건진료소 1F,경기도,광주시,관공서,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2019-04,경기도 광주시 곤지암읍 만선로 59,경기도 광주시 곤지암읍 만선리 364,경기도 광주시청,031-760-2742,37.36841503,127.4065316,2020-03-19
67,상림 보건진료소,상림 보건진료소 1F,경기도,광주시,관공서,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2019-04,경기도 광주시 도척면 상림마을길 5,경기도 광주시 도척면 상림리 99-3,경기도 광주시청,031-760-2742,37.31737734,127.3046581,2020-03-19
68,유정리 보건진료소,유정리 보건진료소 1F,경기도,광주시,관공서,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2019-04,경기도 광주시 도척면 도척로 773-7,경기도 광주시 도척면 유정리 529-8,경기도 광주시청,031-760-2742,37.28813149,127.3208852,2020-03-19
69,무갑리 보건진료소,무갑리 보건진료소 1F,경기도,광주시,관공서,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2019-04,경기도 광주시 초월읍 무갑길140번길 10-7,경기도 광주시 초월읍 무갑리 309-2,경기도 광주시청,031-760-2742,37.4208432,127.3237695,2020-03-19
70,검천 보건진료소,검천 보건진료소 1F,경기도,광주시,관공서,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2019-04,경기도 광주시 남종면 산수로 2331,경기도 광주시 남종면 검천리 368-12,경기도 광주시청,031-760-2742,37.53001347,127.3405959,2020-03-19
71,퇴촌남종 통합보건지소,퇴촌남종 통합보건지소 1F,경기도,광주시,관공서,경기도 광주시청,"CIVIL_GJCITY_2.4G, CIVIL_GJCITY_5G",2019-04,경기도 광주시 퇴촌면 산수로 1347,경기도 광주시 퇴촌면 오리 73-1,경기도 광주시청,031-760-2742,37.47476817,127.3058285,2020-03-19
72,광주시 청소년수련관,수련관 내 민원인 이용 전구간,경기도,광주시,관공서,경기도 광주시청 청소년수련관,wi-Fi,2018-10,경기도 광주시 회안대로 350-17,경기도 광주시 태전동 7-10,경기도 광주시 청소년수련관,031-760-8757,37.38545732,127.2358943,2020-03-19
73,곤지암읍 행정복지센터,곤지암읍 행정복지센터 내,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2018-12,경기도 광주시 곤지암읍 광여로 59,경기도 광주시 곤지암읍 곤지암리 135-3,경기도 광주시청,031-760-2742,37.35093417,127.3523772,2020-03-19
74,남종면 행정복지센터,남종면 행정복지센터 내,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2018-12,경기도 광주시 남종면 분원길9,경기도 광주시 남종면 분원리 132,경기도 광주시청,031-760-2742,37.49432952,127.3019442,2020-03-19
75,도척면 행정복지센터,도척면 행정복지센터 내,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2018-12,경기도 광주시 도척면 노곡로 20,경기도 광주시 도척면 노곡리 58-14,경기도 광주시청,031-760-2742,37.30459431,127.3311699,2020-03-19
76,경기도 광주시 대주작은도서관,대주작은도서관 내,경기도,광주시,관공서,경기도 광주시청,iptime,2018-04,경기도 광주시 오포읍 마루들길 274,경기도 광주시 오포읍 양벌리 355-1,경기도 광주시 오포도서관,031-760-5699,37.37628142,127.2615206,2020-03-19
77,오포읍 행정복지센터,오포읍 행정복지센터 내,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2018-12,경기도 광주시 오포읍 오포로 859번길 29,경기도 광주시 오포읍 추자리 102-16,경기도 광주시청,031-760-2742,37.3661517,127.228625,2020-03-19
78,남한산성면 행정복지센터,남한산성면 행정복지센터 내,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2018-12,경기도 광주시 남한산성면 남한산성로2,경기도 광주시 남한산성면 광지원리 112,경기도 광주시청,031-760-2742,37.46338016,127.244665,2020-03-19
79,상하수도사업소,상하수도사업소 내,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2018-12,경기도 광주시 중앙로 197,경기도 광주시 송정동 120-8,경기도 광주시청,031-760-2742,37.41748364,127.2564967,2020-03-19
80,경안동 행정복지센터,경안동 행정복지센터 내,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2018-12,경기도 광주시 중앙로 197-1,경기도 광주시 송정동 120-74,경기도 광주시청,031-760-2742,37.41699272,127.2556701,2020-03-19
81,초월읍 행정복지센터,초월읍사무소,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2018-12,경기도 광주시 초월읍 경충대로 1241,경기도 광주시 초월읍 대쌍령리 211-2,경기도 광주시청,031-760-2742,37.38524761,127.2879413,2020-03-19
82,경기도 광주시 초월도서관,초월도서관방 내,경기도,광주시,관공서,경기도 광주시청,chowol_lib,2018-12,경기도 광주시 초월읍 무들로3-26,경기도 광주시 초월읍 대쌍령리 253-15,경기도 광주시 초월도서관,031-760-8603,37.38738146,127.2910941,2020-03-19
83,송정동 행정복지센터,송정동 행정복지센터 내,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2018-12,경기도 광주시 탄벌길6,경기도 광주시 탄벌동 717-5,경기도 광주시청,031-760-2742,37.41968948,127.246097,2020-03-19
84,광남동 행정복지센터,광남동 행정복지센터 내,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2018-12,경기도 광주시 태봉로45,경기도 광주시 태전동 249-2,경기도 광주시청,031-760-2742,37.389029,127.229814,2020-03-19
85,경기도 광주시 퇴촌작은도서관,퇴촌작은도서관 내,경기도,광주시,관공서,경기도 광주시청,NESPOT,2018-02,경기도 광주시 퇴촌면 광동로 57-2,경기도 광주시 퇴촌면 광동리 244-1,경기도 광주시 시립도서관,031-760-5682,37.47065196,127.3092016,2020-03-19
86,퇴촌면 행정복지센터,퇴촌면 행정복지센터 내,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2018-12,경기도 광주시 퇴촌면 탑골길6,경기도 광주시 퇴촌면 광동리 327-1,경기도 광주시청,031-760-2742,37.46690935,127.3071219,2020-03-19
87,보건소,광주시 보건소 내,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2018-12,경기도 광주시 파발로 194,경기도 광주시 경안동 115,경기도 광주시청,031-760-2742,37.41642991,127.2507275,2020-03-19
88,공설운동장,광주시 공설운동장,경기도,광주시,관공서,경기도 광주시청,Free_gjcity,2018-03,경기도 광주시 파발로 176,경기도 광주시 경안동 120-1,경기도 광주시청,031-760-2742,37.41494972,127.2517703,2020-03-19
89,차량등록사업소,차량등록사업소 1층 내,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2018-12,경기도 광주시 포은대로 692-6,경기도 광주시 장지동 214-7,경기도 광주시청,031-760-2742,37.38718652,127.2459589,2020-03-19
90,광주시청,시청 민원실,경기도,광주시,관공서,경기도 광주시청,Free_gjcity,2018-05,경기도 광주시 행정타운로 50,경기도 광주시 송정동 570,경기도 광주시청,031-760-2742,37.42928622,127.255084,2020-03-19
91,농업기술센터,농업기술센터 내,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2018-12,경기도 광주시 이배재로 209-5,경기도 광주시 목현동 42-1,경기도 광주시청,031-760-2742,37.43194988,127.2343471,2020-03-19
92,곤지암도서관,곤지암도서관 내,경기도,광주시,관공서,"SKT,경기도 광주시청","T WiFi zone, Gjcity_lib",2018-12,경기도 광주시 곤지암읍 곤지암로 11번길 47,경기도 광주시 곤지암읍 곤지암리 340-2,경기도 광주시 곤지암도서관,031-760-5668,37.34904105,127.3410077,2020-03-19
93,오포도서관,오포도서관 내,경기도,광주시,관공서,"SKT,경기도 광주시청",,2018-12,경기도 광주시 오포읍 오포로 885,경기도 광주시 오포읍 고산리 253-3,경기도 광주시 오포도서관,031-760-5699,37.36920483,127.2312228,2020-03-19
94,시립도서관,시립도서관 내,경기도,광주시,관공서,"SKT,LGU+,경기도 광주시청",,2018-12,경기도 광주시 문화로 82,경기도 광주시 경안동 161-24,경기도 광주시 시립도서관,031-760-5682,37.41063314,127.2531348,2020-03-19
95,광주시 문화스포츠센터,문화스포츠센터 내,경기도,광주시,관공서,광주도시관리공사,wi-fi,2018-08,경기도 광주시 회안대로 891,경기도 광주시 송정동 340-1,광주도시관리공사,031-760-4480,37.42686868,127.254726,2020-03-19
96,왕송호수,레일바이크 정차장,경기도,의왕시,편의시설,의왕시,G_PublicWiFi@Uiwang,2019-11,경기도 의왕시 왕송못동로 307,경기도 의왕시 월암동 543-3번지,경기도 의왕시청,031-345-2304,37.307514,126.952621,2020-04-07
97,비산1동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2014-07,경기도 안양시 동안구 비산로 12,경기도 안양시 동안구 비산1동 475-1,경기도 안양시,031-8045-4560,37.3998522,126.9334293,2020-08-11
98,비산2동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2014-07,경기도 안양시 동안구 경수대로868번길 39,경기도 안양시 동안구 비산2동 418-13,경기도 안양시,031-8045-4560,37.3970525,126.9413959,2020-08-11
99,비산3동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2014-07,경기도 안양시 동안구 매곡로 1,경기도 안양시 동안구 비산3동 318-79,경기도 안양시,031-8045-4560,37.4044245,126.9449095,2020-08-11
100,부흥동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2014-07,경기도 안양시 동안구 달안로 28,경기도 안양시 동안구 부흥동 1103-1,경기도 안양시,031-8045-4560,37.3937106,126.9471127,2020-08-11
101,달안동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2014-07,경기도 안양시 동안구 달안로 65,경기도 안양시 동안구 달안동 1101-5,경기도 안양시,031-8045-4560,37.3960762,126.9501738,2020-08-11
102,관양1동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2014-07,경기도 안양시 동안구 관악대로 375,경기도 안양시 동안구 관양1동 1432-15,경기도 안양시,031-8045-4560,37.4047996,126.9645122,2020-08-11
103,관양2동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2014-12,경기도 안양시 동안구 관양로 215,경기도 안양시 동안구 관양2동 1482-3,경기도 안양시,031-8045-4560,37.4022641,126.9709602,2020-08-11
